No.,보관방법,카테고리,품목군,품목코드,품목명,규격,단위,입고,,실사재고,,,사용량,,전산재고,,클레임,,구분,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,수량,금액,수량,단가,금액,수량,금액,수량,금액,수량,금액,,,,,,,,,,,,,,,,,,,,,,,,,,
69,실온,과일,국산과채과일,117352,완숙토마토 NBB 국내산 실온,5KG,박스,1,"19,300",2,"19,300","38,600",0,0,2.,"38,600.",0,0,정상발주,0,Y,Y,N,N,20250705,105,BOX,2,38600,10501,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
70,,농산가공품,건조과채류,326209,튀긴마늘 슬라이스 이엔푸드,500G,개,0,0,1.5,"8,600","12,900",0,0,1.5,"12,900.",0,0,정상발주,0,Y,Y,N,N,20250705,412,EA,1.5,12900,41202,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
71,,,과채통조림,310489,딜 오이피클 한미에프쓰리,2KG,개,0,0,1.4,"8,200","11,480",0.7,"5,740",1.4,"11,480.",0,0,정상발주,0,Y,Y,N,N,20250705,412,EA,2.1,17220,41201,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
72,,,,252118,할라피뇨캔 GANDULES,2.900KG,개,1,"6,300",0.2,"6,300","1,260",1,"6,300",0.2,"1,260.",0,0,정상발주,0,Y,Y,N,N,20250705,412,EA,1.2,7560,41201,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
73,,베이커리,빵류,339512,노브랜드 버거번 2.0 SPC삼립,55G,개,180,"29,880",624,166,"103,584",0,0,"2,808.","466,128.","2,184","362,544",정상발주,0,Y,Y,N,N,20250705,404,EA,624,103584,40401,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
74,,,,341786,노브랜드버거번N 천안공장,"55G, 임시공급용",개,0,0,300,166,"49,800",444,"73,704",300.,"49,800.",0,0,정상발주,0,Y,Y,N,N,20250705,404,EA,744,123504,40401,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
75,,음료류,과일채소음료,209307,미닛메이드오렌지50주황 페트 코카콜라,1.500L,개,0,0,2.5,"2,450","6,125",0,0,2.5,"6,125.",0,0,정상발주,0,Y,Y,N,N,20250705,437,EA,2.5,6125,43702,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
76,,,기타음료,261016,르쎄떼 제주 청귤 라임 베이스 스위트컵,1.200KG,개,1,"9,900",1.6,"9,900","15,840",0,0,1.6,"15,840.",0,0,정상발주,0,Y,Y,N,N,20250705,437,EA,1.6,15840,43710,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
77,,,,261015,르쎄떼 제주 한라봉 패션후르츠 베이스 스위트컵,1.200KG,개,0,0,0.9,"10,600","9,540",0,0,0.9,"9,540.",0,0,정상발주,0,Y,Y,N,N,20250705,437,EA,0.9,9540,43710,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
78,,,생수,243935,아이시스 무라벨 페트 롯데칠성,500ML*20개,박스,0,0,2.8,"5,300","14,840",0,0,2.8,"14,840.",0,0,정상발주,0,Y,Y,N,N,20250705,437,BOX,2.8,14840,43704,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
79,,,탄산음료,251760,브랜드 사이다 제로 일화,355ML,개,24,"8,928",108,372,"40,176",8,"2,976",108.,"40,176.",0,0,정상발주,0,Y,Y,N,N,20250705,437,EA,116,43152,43701,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
80,,,,247218,브랜드 사이다 캔 일화,355ML,개,0,0,119,372,"44,268",0,0,119.,"44,268.",0,0,정상발주,0,Y,Y,N,N,20250705,437,EA,119,44268,43701,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
81,,,,251759,브랜드 콜라 제로 일화,355ML,개,72,"26,784",122,372,"45,384",24,"8,928",122.,"45,384.",0,0,정상발주,0,Y,Y,N,N,20250705,437,EA,146,54312,43701,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
82,,,,247217,브랜드 콜라 캔 일화,355ML,개,72,"26,784",141,372,"52,452",23,"8,556",141.,"52,452.",0,0,정상발주,0,Y,Y,N,N,20250705,437,EA,164,61008,43701,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
83,,조미료,유지류,253465,N 전용유 사조해표,15KG,개,0,0,2.5,"42,500","106,250",0,0,2.5,"106,250.",0,0,정상발주,0,Y,Y,N,N,20250705,403,EA,2.5,106250,40305,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
84,,,향신료,326035,파슬리후레이크 두비산업,120G,개,0,0,0.6,"3,800","2,280",0,0,0.6,"2,280.",0,0,정상발주,0,Y,Y,N,N,20250705,403,EA,0.6,2280,40302,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
85,,커피/차류,침출차,320649,제이슨티 녹차삼각티백 티코리아,"42G, 35T",개,0,0,1,"8,500","8,500",0,0,1.,"8,500.",0,0,정상발주,0,Y,Y,N,N,20250705,438,EA,1,8500,43801,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
86,,,,320644,제이슨티 얼그레이삼각티백 티코리아,"52.5G, 35T",개,0,0,1,"8,500","8,500",0,0,1.,"8,500.",0,0,정상발주,0,Y,Y,N,N,20250705,438,EA,1,8500,43801,10328,NBB 건대점,,01,,05,,,N,,,0000000,윤혜리,
87,실온(25℃이하),과일,국산과채과일,232012,대추방울토마토 NBB 국내산 실온(25℃ 이하),1KG,kg,0,0,1.2,"5,550","6,660",0.3,"1,665",1.2,"6,660.",0,0,정상발주,0,Y,Y,N,N,20250705,105,KG,1.5,8325,10501,10328,NBB 건대점,,01,,08,,,N,,,0000000,윤혜리,
88,실온(냉장 권장),조미료,소스,339536,바질마요소스 동원홈푸드,1KG,개,0,0,4.2,"6,550","27,510",0,0,4.2,"27,510.",0,0,정상발주,0,Y,Y,N,N,20250705,403,EA,4.2,27510,40312,10328,NBB 건대점,,01,,07,,,N,,,0000000,윤혜리,
,합계,,,,,,,430,"1,177,326","1,679.9","1,417,090","3,862,940",540.5,"657,233","3,863.9","4,225,484","2,184.","362,544",,,,,,,,,,,,,,,,,,,,,,,,,,
